Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Kazakhstan,KAZ,..,11.3256594,..,21.411552,24.00306652,22.52402723,20.53231613,19.45438738,13.66643674,13.747856,16.47157512,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Kenya,KEN,..,..,..,..,..,..,..,21.73890983,21.19959168,20.12562706,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Kiribati,KIR,..,..,..,56.56087021,54.65228956,67.85167744,76.97447672,96.96274292,120.4934062,92.54781669,100.4830637,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Korea, Rep.",KOR,15.84726899,21.19812713,21.31415615,21.00514041,21.56582378,27.86449984,27.4190854,26.28067146,26.30360808,27.31025019,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Kuwait,KWT,58.71269219,..,57.39877945,64.32460375,70.599554,65.07095328,63.79157801,53.18149116,38.62119379,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Kyrgyz Republic,KGZ,..,..,..,..,..,..,22.53856009,29.44860667,30.06601324,28.13084677,28.48120753,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Lao PDR,LAO,..,..,14.15330536,14.50461025,14.49149028,15.22824564,15.63294906,16.09266436,15.80735147,14.69657705,14.50697972,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Latvia,LVA,..,39.19056803,40.65507068,42.46872985,42.04877832,42.85730439,42.72363659,43.06028726,43.23705814,43.06747966,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Lebanon,LBN,..,16.0311299,21.89714569,20.08743903,21.77920386,19.93030375,18.66827685,19.74139761,17.13131033,17.62410074,19.76364424,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Lesotho,LSO,..,..,66.76447141,45.76976606,40.45923296,52.02955396,50.13363463,49.64508429,44.7526657,38.57814907,42.37208572,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Liberia,LBR,..,..,..,13.52167858,13.32977131,15.82805206,15.67734592,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Lithuania,LTU,..,34.54326026,32.78399424,30.13996584,28.85223486,28.90091272,29.10789477,30.55887457,31.23409028,31.93677026,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Luxembourg,LUX,33.57058845,40.72356847,41.93416865,41.04318822,40.44745322,42.08763832,42.19985953,41.1324871,40.82451837,41.5455007,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Macao SAR, China",MAC,..,18.10174407,33.05211762,36.68677577,40.00101792,39.0716356,38.2482124,36.96064243,31.53342332,30.07410602,31.93554176,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Madagascar,MDG,11.69371475,11.69038341,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Malawi,MWI,..,..,15.09118147,16.98820533,16.59125093,14.29452015,14.69952063,17.16726927,16.65116671,16.26042392,18.52551125,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Malaysia,MYS,..,17.47778485,22.25401936,19.4358718,20.33698462,21.40659685,20.94711049,19.94006469,18.91122499,17.2556904,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Maldives,MDV,22.14108369,29.97367526,17.65303073,19.14686934,21.32177694,..,..,25.65107462,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Mali,MLI,..,11.02417084,15.08075465,15.24581773,13.1378401,13.79415701,14.7191796,13.19790377,14.8635668,16.05461962,17.39070178,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Malta,MLT,80.61860276,74.79001096,38.20312449,38.17174028,38.25642278,38.55899422,38.91911632,39.03726582,38.52388265,37.87903354,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Marshall Islands,MHL,..,..,20.1454938,19.91368929,19.94053745,19.21565516,21.37360954,23.82185742,27.71926773,32.53912613,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Mauritius,MUS,22.52738337,20.85539127,22.70434884,22.11222346,21.91545667,22.57015663,22.39199027,22.93308201,11.46166683,22.8490603,22.27696931,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Mexico,MEX,15.41572106,12.1102239,17.69709336,18.04343497,18.91593457,18.74484474,18.8045337,18.36056655,19.03866293,19.80505139,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,"Micronesia, Fed. Sts.",FSM,..,..,12.8052004,12.20911808,12.06063953,14.55473928,17.85460286,28.80370246,28.49176771,27.33872746,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Moldova,MDA,..,24.5025487,32.6148672,31.60262948,30.71317347,31.23608962,29.84763647,30.9154221,31.36026444,30.19909091,32.242683,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Mongolia,MNG,..,24.35693491,26.83117813,29.02801557,28.59302404,25.61741613,27.68712746,25.15519106,22.56311408,21.13551463,..,..
